Referencia Interna,Titulo,Descripción web,Inventario real,Aliado,Imagen,ID e-kommers,Precio,Cuotas,Peso,Enviable,Digital
0012-T,Epson Ecotank L3250,"La Epson EcoTank L3250 es una impresora multifuncional de tanque de tinta diseñada para uso doméstico y oficina en casa, que integra funciones de impresión, escaneo y copiado con conectividad inalámbrica.
Características Principales
Ahorro y Rendimiento
Ahorro de hasta 90% en costos de impresión comparado con cartuchos tradicionales
Incluye tinta para hasta 3 años de uso: 8.100 páginas en negro y 6.500 en color con el kit inicial
Sistema de tanque de tinta frontal con botellas de recarga antidesbordamiento y con bloqueo para recargas limpias y sencillas
Tecnología de Impresión
Cabezal Micro Piezo de Epson para mayor durabilidad y precisión
Resolución máxima: 5.760 x 1.440 DPI para textos nítidos y fotos vibrantes
Tecnología de gota variable de 3 pl para optimizar calidad y consumo de tinta
Tinta tipo dye en 4 colores: Negro, Cian, Magenta y Amarillo
Conectividad y Compatibilidad
Wi-Fi 802.11b/g/n y Wi-Fi Direct para impresión sin cables
Puerto USB 2.0 para conexión directa
Epson Connect: iPrint, Email Print y Remote Print Driver para impresión desde cualquier lugar
App Epson Smart Panel: configuración, monitoreo y control desde smartphone o tablet
Compatible con Windows (7/8/10/11) y macOS (10.6.8 o superior)
Soporte para impresión desde Android e iOS
Manejo de Papel y Escaneo
Papel Compatible
Formatos: A4, A5, A6, B5, Carta, Oficio, Legal, sobres (DL, C6, No. 10), 10x15 cm, 13x18 cm, y tamaños personalizados
Gramaje: 64 - 300 g/m²
Capacidad de bandeja: 100 hojas estándar / 20 hojas fotográficas
Impresión sin bordes hasta 10x15 cm
Escáner Integrado
Resolución óptica: 1.200 x 2.400 DPI
Sensor CIS (Contact Image Sensor)
Velocidad: 11 seg. (blanco y negro) / 28 seg. (color) a 200 DPI en A4
Formatos de salida: JPEG, PDF, PNG, TIFF, BMP, PICT",6,Compurama,https://imgur.com/a/4oK45iW,0012-T,"510,4",3,,TRUE,FALSE
0013-T,Epson Ecotank L1250,"La Epson EcoTank L1250 es una impresora monofuncional de inyección de tinta diseñada para el hogar y pequeñas oficinas que buscan costos de impresión extremadamente bajos. A diferencia de otros modelos multifuncionales, esta versión no cuenta con un escáner físico integrado, aunque permite escanear y copiar documentos utilizando la cámara de un dispositivo móvil a través de la aplicación Epson Smart Panel. 
Especificaciones Técnicas Principales
Según datos de Epson México y Hiraoka, las características técnicas clave incluyen:
Tecnología de impresión: Inyección de tinta Heat-Free MicroPiezo de 4 colores (CMYK).
Resolución máxima: Hasta 5,760 x 1,440 dpi, lo que permite impresiones de alta calidad en papel fotográfico.
Velocidad de impresión (ISO): 10 ppm en negro y 5 ppm a color.
Velocidad máxima (Borrador): Hasta 33 ppm en negro y 15 ppm a color.
Conectividad: USB de alta velocidad, Wi-Fi y Wi-Fi Direct (permite conectar hasta 8 dispositivos sin necesidad de un router).
Capacidad de papel: Bandeja trasera para hasta 100 hojas (A4/Carta). 
imiento y Consumibles
El sistema de tanques de tinta frontales facilita el monitoreo de los niveles y utiliza botellas de reemplazo económicas. 
Botellas compatibles: Serie de tintas Epson 544.
Rendimiento estimado: Un juego de botellas puede rendir hasta 4,500 páginas en negro y 7,500 páginas a color.
Sistema EcoFit: Las botellas tienen boquillas codificadas para un llenado sencillo, sin derrames y sin errores. 
Opiniones y Experiencia de Usuario
Pros: Usuarios en Cyberpuerta y Amazon destacan su diseño compacto y la excelente relación calidad-precio para tareas escolares y documentos. Se elogia la facilidad de instalación inicial y el ahorro significativo en tinta en comparación con sistemas de cartuchos.
Contras: Algunos críticos mencionan que la configuración inicial de la conexión inalámbrica puede ser algo compleja. Además, al no tener escáner físico, el proceso de copia mediante la aplicación móvil puede ser menos intuitivo para algunos usuarios.",6,Compurama,https://imgur.com/a/Ay0ICqf,0013-T,"359,6",3,,TRUE,FALSE
0014-T,HP DeskJet Ink Advantage 2875,"La HP DeskJet Ink Advantage 2875 es una impresora multifuncional (todo-en-uno) diseñada para uso doméstico que permite imprimir, copiar y escanear. Destaca por su conectividad inalámbrica mediante Wi-Fi y su integración con la aplicación HP Smart, facilitando la impresión desde dispositivos móviles. 
Especificaciones Técnicas
Según los datos técnicos proporcionados por el fabricante en hp.com, las características principales de este modelo son:
Funciones: Impresión, copia y escaneado.
Velocidad de impresión: Hasta 7,5 ppm en negro y 5,5 ppm en color (bajo norma ISO).
Conectividad: Wi-Fi 802.11b/g/n (banda única de 2,4 GHz) y un puerto USB 2.0 de alta velocidad.
Resolución de impresión: Hasta 1200 x 1200 ppp en negro y hasta 4800 x 1200 ppp optimizados para color.
Manejo de papel: Bandeja de entrada con capacidad para 60 hojas y bandeja de salida de 25 hojas.
Ciclo de trabajo mensual: Soporta hasta 1,000 páginas, aunque HP recomienda un volumen mensual de 50 a 100 páginas para un rendimiento óptimo. 
Consumibles y Cartuchos
Este equipo utiliza un sistema de dos cartuchos (uno negro y uno tricolor). Los modelos compatibles reportados incluyen: 
Estándar: HP 667 Negro (~120 páginas) y HP 667 Tricolor (~100 páginas).
Alto Rendimiento (XL): HP 667XL Negro (~480 páginas) y HP 667XL Tricolor (~330 páginas).
Nota de seguridad: El equipo cuenta con ""seguridad dinámica"", lo que significa que está diseñado para bloquear cartuchos que no utilicen chips o circuitos originales de HP. ",0,Compurama,https://imgur.com/a/v5RDAzi,0014-T,"192,4",3,,TRUE,FALSE
0015-T,Xerox B235,"La Xerox B235 es una impresora multifuncional láser monocromática diseñada para el teletrabajo y pequeñas empresas que buscan un equipo compacto y versátil. 
Características Principales
Funciones 4 en 1: Imprime, copia, escanea y envía fax.
Rendimiento: Alcanza velocidades de hasta 36 ppm (páginas por minuto) y cuenta con impresión automática a doble cara.
Conectividad: Incluye Wi-Fi integrado con Wi-Fi Direct, Ethernet y USB. Es compatible con Apple AirPrint, Mopria y Chromebook.
Interfaz: Pantalla táctil a color de 2.8 pulgadas para una navegación intuitiva.
Manejo de Papel: Bandeja principal de 250 hojas y alimentador automático de documentos (ADF) de 50 hojas. 
Consumibles y Soporte 
Tóner: Utiliza cartuchos de capacidad estándar (1,200 páginas), alta (3,000 páginas) y extra alta (6,000 páginas).
Drivers: Los controladores actualizados, incluyendo el instalador Xerox Smart Start, están disponibles en el portal oficial de Soporte de Xerox.",1,Compurama,https://imgur.com/a/MGIQYn1,0015-T,522,3,,TRUE,FALSE
0016-T,HP Laser MFP 137fnw,"La HP Laser MFP 137fnw es una impresora láser monocromática multifuncional (4 en 1) que permite imprimir, escanear, copiar y enviar faxes. Es un equipo compacto diseñado para hogares u oficinas pequeñas con necesidades de impresión moderadas, ofreciendo conectividad Wi-Fi, Ethernet y USB. 
Especificaciones Técnicas
Según los datos técnicos proporcionados por HP Support y Printerland, estas son sus capacidades principales:
Velocidad de Impresión: Hasta 21 páginas por minuto (ppm) en negro.
Resolución: Hasta 1200 x 1200 ppp para una calidad de texto nítida.
Manejo de Papel: Incluye una bandeja de entrada de 150 hojas y un alimentador automático de documentos (ADF) de 40 hojas para tareas manos libres.
Dúplex: La impresión a doble cara es manual (el software guía al usuario para girar el papel).
Memoria: Cuenta con 128 MB de RAM (no expandible) y un procesador de 600 MHz.
Ciclo de Trabajo: Soporta hasta 10,000 páginas mensuales, aunque el volumen recomendado es de 100 a 2,000 páginas. 
Conectividad y Funciones Inteligentes 
El modelo destaca por su versatilidad inalámbrica según detallan HP y Braincorp: 
Impresión Móvil: Compatible con la aplicación HP Smart, Apple AirPrint y Mopria, lo que permite imprimir y escanear directamente desde smartphones o tablets.
Wi-Fi Direct: Permite conectar dispositivos móviles directamente a la impresora sin necesidad de una red compartida.
Interfaz: Posee una pantalla LCD de 2 líneas y un teclado físico para gestionar funciones de copia y fax de forma sencilla. 
Consumibles y Mantenimiento
La impresora utiliza tecnología de tóner en lugar de cartuchos de tinta: 
Modelo de Tóner: Utiliza el cartucho original HP 105A Negro (W1105A), con un rendimiento aproximado de 1,000 páginas.
Sistema de Seguridad: Incluye seguridad dinámica de HP, lo que significa que está diseñada para funcionar únicamente con cartuchos que posean un chip original de HP. ",2,Compurama,https://imgur.com/a/Vs6oDbJ,0016-T,"568,4",3,,TRUE,FALSE
0019-T,Canon MF264DW,"La Canon imageCLASS MF264dw es una impresora láser monocromática multifunción (3 en 1) diseñada para el hogar y oficinas pequeñas, que destaca por su velocidad de impresión de hasta 30 ppm y su conectividad inalámbrica versátil. 
Especificaciones Técnicas Principales
Característica  Detalle
Funciones Impresión, Escaneo y Copia
Tecnología Láser Monocromática (Blanco y Negro)
Velocidad de Impresión Hasta 30 ppm (Carta) / 28 ppm (A4)
Resolución Hasta 1200 x 1200 dpi (calidad mejorada)
Dúplex Automático (impresión por ambas caras)
Manejo de Papel Casete de 250 hojas y ADF de 35 hojas (simplex)
Pantalla LCD de 5 líneas, inclinable
Características y Rendimiento
Conectividad Completa: Según Canon Latin America, incluye USB 2.0, Ethernet y Wi-Fi con soporte para Wi-Fi Direct, lo que permite imprimir desde dispositivos móviles sin necesidad de un router. Es compatible con Apple AirPrint, Mopria Print Service y la aplicación Canon PRINT Business.
Consumibles: Utiliza el cartucho de tóner Canon 051 (rendimiento estándar de ~1,700 páginas) o el 051H de alta capacidad (rendimiento de ~4,100 páginas).
Velocidad de Escaneo: Evaluada por PCMag, alcanza hasta 10.6 ipm en blanco y negro y 8.6 ipm a color, aunque el alimentador automático de documentos (ADF) solo admite escaneo por una cara (simplex).",1,Compurama,https://imgur.com/a/mTEkeVy,0017-T,"626,4",3,,TRUE,FALSE
0020-T,Mercusys AX3000,"Router Wi-Fi 6: Mercusys MR80X 
Este es el modelo de router más común con esta clasificación. Está diseñado para ofrecer una conexión estable y rápida en hogares con múltiples dispositivos. 
Rendimiento: Utiliza canales de 160 MHz para duplicar el ancho de banda y reducir la latencia en streaming 4K y juegos.
Conectividad: Incluye 1 puerto WAN Gigabit y 3 puertos LAN Gigabit para conexiones por cable de alta velocidad.
Capacidad: Soporta tecnologías MU-MIMO y OFDMA, permitiendo la conexión simultánea de hasta 256 dispositivos sin degradar el rendimiento.
Cobertura: Equipado con 4 antenas de alta ganancia y tecnología Beamforming para dirigir la señal directamente a los dispositivos conectados.",10,Compurama,https://imgur.com/a/wSuSh0N,0020-T,"110,2",3,,TRUE,FALSE
0021-T,Lenovo ideapad 1 14,Modelo de 4gb ram y 12gb ram,12,Compurama,https://imgur.com/a/tBvDyj6,0021-T,"719,2",3,,TRUE,FALSE
0022-T,Nexxus n5095,8/256gb,10,Compurama,https://imgur.com/a/ALRCabt,0022-T,"591,6",3,,TRUE,FALSE
0023-T,Nexxus ryzen 3,16/256,10,Compurama,https://imgur.com/a/brTu736,0023-T,812,3,,TRUE,FALSE
0024-T,Dell 5400 Refurbished,i5 8th 16/256,1,Compurama,https://imgur.com/a/J1R1UQh,0024-T,"742,4",3,,TRUE,FALSE
0025-T,Tablet Chuwi Aupad,,10,Compurama,https://imgur.com/a/7CUY5tl,0025-T,"342,2",3,,TRUE,FALSE
0026-T,Tablet Chuwi Hi10 Xpro,,10,Compurama,https://imgur.com/a/56qMOF4,0026-T,"255,2",3,,TRUE,FALSE
0027-T,Table Dialn G10,,0,Compurama,https://imgur.com/a/mkffDOR,0027-T,"185,6",3,,TRUE,FALSE
0028-T,Laptop Microsoft Refurbished,i5 10ma 8/256,1,Compurama,https://imgur.com/a/JVVhlvS,0028-T,638,3,,TRUE,FALSE
0029-T,Laptop Microsoft Refurbished,i5 11va 8/256,1,Compurama,https://imgur.com/a/l5VXKib,0029-T,"661,2",3,,TRUE,FALSE
0030-T,Laptop  Lenovo Refurbished x260,i7 6ta 8gb/1tb,1,Compurama,https://imgur.com/a/rVaDEi7,0030-T,580,3,,TRUE,FALSE
0031-T,Laptop Dell Refurbished,i5 4ta 8/128,4,Compurama,https://imgur.com/a/8VjdXlz,0031-T,"475,6",3,,TRUE,FALSE
0032-T,Laptop HP Probook Refurbished ,i5 4ta 8/128,1,Compurama,https://imgur.com/a/ocRFEcn,0032-T,"475,6",3,,TRUE,FALSE
0033-T,Laptop Lenovo L390 Refurbished,i5 8va 16/256,1,Compurama,https://imgur.com/a/I1sPV0c,0033-T,"707,6",3,,TRUE,FALSE
0034-T,Laptop Lenovo T440 Refurbished,i3 4ta 8/128,1,Compurama,https://imgur.com/a/MsEzrSG,0034-T,"453,56",3,,TRUE,FALSE
0035-T,PC HP Refurbisehd z240,i5 6ta 8/256,5,Compurama,https://imgur.com/a/oA4T2VB,0035-T,348,3,,TRUE,FALSE
0036-T,PC DELL Refurbisehd Optiplex 7010,i5 3ra 8/256,10,Compurama,https://imgur.com/a/LO55b6z,0036-T,"266,8",3,,TRUE,FALSE
0037-T,PC MESAS ASTRON NUEVA,i5 4ta 8/128,1,Compurama,https://imgur.com/a/iNpZpzg,0037-T,"429,2",3,,TRUE,FALSE
0038-T,Router Mercusys AC12 ,,4,Compurama,https://imgur.com/a/J0MhZCq,0038-T,"34,8",3,,TRUE,FALSE
0039-T,PC GAMER RYZEN 5 RX 470,"PC GAMER RYZEN 5 RX 470, 8gb ram, 256 m.2, fuente de poder thermaltake 80+",1,Compurama,https://imgur.com/a/3HuSwYU,0039-T,812,3,,TRUE,FALSE
0040-T,Mini UPS Marsriva KP2 EC,8000mAh,10,Compurama,https://imgur.com/a/F14dohA,0040-T,"40,6",3,,TRUE,FALSE
0041-T,Mini UPS Marsriva KP3,10000mAh,5,Compurama,https://imgur.com/a/i8BAWwl,0041-T,"52,2",3,,TRUE,FALSE
0042-T,,,,Compurama,,,,,,,
0043-T,,,,Compurama,,,,,,,
0044-T,,,,Compurama,,,,,,,
,,,,Compurama,,,,,,,
,,,,Compurama,,,,,,,
,,,,Compurama,,,,,,,
,,,,Compurama,,,,,,,
,,,,Compurama,,,,,,,
,,,,Compurama,,,,,,,
,,,,Compurama,,,,,,,
,,,,Compurama,,,,,,,
,,,,Compurama,,,,,,,
,,,,Compurama,,,,,,,
,,,,Compurama,,,,,,,
,,,,Compurama,,,,,,,
,,,,Compurama,,,,,,,
,,,,Compurama,,,,,,,
,,,,Compurama,,,,,,,
,,,,Compurama,,,,,,,
,,,,Compurama,,,,,,,
,,,,Compurama,,,,,,,
,,,,Compurama,,,,,,,
,,,,Compurama,,,,,,,
,,,,Compurama,,,,,,,
,,,,Compurama,,,,,,,
,,,,Compurama,,,,,,,
,,,,Compurama,,,,,,,
,,,,Compurama,,,,,,,
,,,,Compurama,,,,,,,
,,,,Compurama,,,,,,,
,,,,Compurama,,,,,,,
,,,,Compurama,,,,,,,
,,,,Compurama,,,,,,,
,,,,Compurama,,,,,,,
,,,,Compurama,,,,,,,
,,,,Compurama,,,,,,,
,,,,Compurama,,,,,,,
,,,,Compurama,,,,,,,
